probs,count,sample
-200,26,Escherichia_coli_MSB1_4I.100x.random.illumina
-199,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-198,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-197,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-196,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-195,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-194,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-193,14,Escherichia_coli_MSB1_4I.100x.random.illumina
-192,16,Escherichia_coli_MSB1_4I.100x.random.illumina
-191,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-190,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-189,13,Escherichia_coli_MSB1_4I.100x.random.illumina
-188,14,Escherichia_coli_MSB1_4I.100x.random.illumina
-187,45,Escherichia_coli_MSB1_4I.100x.random.illumina
-186,22,Escherichia_coli_MSB1_4I.100x.random.illumina
-185,6,Escherichia_coli_MSB1_4I.100x.random.illumina
-184,27,Escherichia_coli_MSB1_4I.100x.random.illumina
-183,23,Escherichia_coli_MSB1_4I.100x.random.illumina
-182,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-181,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-180,37,Escherichia_coli_MSB1_4I.100x.random.illumina
-179,34,Escherichia_coli_MSB1_4I.100x.random.illumina
-178,11,Escherichia_coli_MSB1_4I.100x.random.illumina
-177,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-176,10,Escherichia_coli_MSB1_4I.100x.random.illumina
-175,11,Escherichia_coli_MSB1_4I.100x.random.illumina
-174,34,Escherichia_coli_MSB1_4I.100x.random.illumina
-173,40,Escherichia_coli_MSB1_4I.100x.random.illumina
-172,19,Escherichia_coli_MSB1_4I.100x.random.illumina
-171,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-170,70,Escherichia_coli_MSB1_4I.100x.random.illumina
-169,17,Escherichia_coli_MSB1_4I.100x.random.illumina
-168,36,Escherichia_coli_MSB1_4I.100x.random.illumina
-167,12,Escherichia_coli_MSB1_4I.100x.random.illumina
-166,23,Escherichia_coli_MSB1_4I.100x.random.illumina
-165,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-164,34,Escherichia_coli_MSB1_4I.100x.random.illumina
-163,26,Escherichia_coli_MSB1_4I.100x.random.illumina
-162,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-161,16,Escherichia_coli_MSB1_4I.100x.random.illumina
-160,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-159,11,Escherichia_coli_MSB1_4I.100x.random.illumina
-158,13,Escherichia_coli_MSB1_4I.100x.random.illumina
-157,3,Escherichia_coli_MSB1_4I.100x.random.illumina
-156,9,Escherichia_coli_MSB1_4I.100x.random.illumina
-155,54,Escherichia_coli_MSB1_4I.100x.random.illumina
-154,16,Escherichia_coli_MSB1_4I.100x.random.illumina
-153,17,Escherichia_coli_MSB1_4I.100x.random.illumina
-152,10,Escherichia_coli_MSB1_4I.100x.random.illumina
-151,0,Escherichia_coli_MSB1_4I.100x.random.illumina
-150,16,Escherichia_coli_MSB1_4I.100x.random.illumina
-149,18,Escherichia_coli_MSB1_4I.100x.random.illumina
