	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_illumina_nodenovo	100x	15	0.1	1.0	0	0.0009278085894377508	579235.0816306759	579773.0	0.8571365680405949	661976	772311	0.7426977532852904	0.8508805991232561	219003	250903.41666647012	294875
1	pandora_illumina_nodenovo	100x	15	0.1	1.0	1	0.0009263321961096027	579107.0571005183	579644.0	0.8570045541849513	661263	771598	0.7411682916490038	0.8499545004938851	218552	250630.33333313442	294875
2	pandora_illumina_nodenovo	100x	15	0.1	1.0	2	0.0009255910144232438	579015.571876409	579552.0	0.8569641421867302	661045	771380	0.7407129824942179	0.8496719502786508	218417	250546.16666646692	294874
3	pandora_illumina_nodenovo	100x	15	0.1	1.0	3	0.0009182499087341256	578889.9458013815	579422.0	0.8569433711757781	660933	771268	0.7404586365701961	0.8495244296427178	218342	250502.6666664668	294874
4	pandora_illumina_nodenovo	100x	15	0.1	1.0	4	0.0008959607840598461	578281.4178981861	578800.0	0.8566979285587192	659612	769947	0.7371148354890563	0.8477363777968387	217356	249975.41666646503	294874
5	pandora_illumina_nodenovo	100x	15	0.1	1.0	5	0.0008742283616056667	577762.461713791	578268.0	0.8565430962299575	658781	769116	0.7351851977454777	0.8466158426982291	216787	249644.9999997976	294874
6	pandora_illumina_nodenovo	100x	15	0.1	1.0	6	0.0008473473121437536	576546.0509437372	577035.0	0.8559937456113559	655847	766182	0.7287713693691861	0.8428201858646202	214895	248524.9166664581	294873
7	pandora_illumina_nodenovo	100x	15	0.1	1.0	7	0.0008157932288469505	574651.8201824323	575121.0	0.8552406467627749	651861	762196	0.7198484750855465	0.8376247870516002	212261	246989.5833331183	294869
8	pandora_illumina_nodenovo	100x	15	0.1	1.0	8	0.0007660088692497125	571024.2550395607	571462.0	0.8537927616584156	644313	754648	0.7021779532258939	0.8277318809115619	207047	244068.3333331068	294864
9	pandora_illumina_nodenovo	100x	15	0.1	1.0	9	0.0007053202839160111	563407.3368973267	563805.0	0.8512343764747125	631335	741670	0.6711640669251145	0.8107615394260447	197884	239042.49999975672	294837
10	pandora_illumina_nodenovo	100x	15	0.1	1.0	10	0.0006427854405263168	548848.9809504921	549202.0	0.8470257117702925	610930	721265	0.6189453615312069	0.7840269155344054	182449	231110.7499997388	294774
11	pandora_illumina_nodenovo	100x	25	0.3	0.4	0	0.0007184291392403619	431659.6601647224	431970.0	0.7721202986879638	596317	772311	0.5791064010173802	0.7649396636982478	170764	225561.58333302088	294875
