	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_nanopore_withdenovo	100x	0	0.2	0.8	0	0.002307825195161373	692072.1239733968	693673.0	0.9031737214671292	697531	772311	0.8299584569732937	0.8978632188777393	244734	264757.4166665734	294875
1	pandora_nanopore_withdenovo	100x	0	0.2	0.8	1	0.002299237142319055	691790.7434540731	693385.0	0.9031269350647332	697158	771938	0.8290021195421788	0.8973533983323085	244452	264607.0833332395	294875
2	pandora_nanopore_withdenovo	100x	0	0.2	0.8	2	0.0022798464922993977	691350.2259700911	692930.0	0.9030887700645645	696854	771634	0.8283035184400169	0.8969484244733273	244246	264487.6666665724	294875
3	pandora_nanopore_withdenovo	100x	0	0.2	0.8	3	0.0022269679389369523	689737.5482840755	691277.0	0.9029496656837908	695748	770528	0.8256854599406528	0.8955034619185674	243474	264061.5833332376	294875
4	pandora_nanopore_withdenovo	100x	0	0.2	0.8	4	0.0021594506477755626	687664.8081077335	689153.0	0.9026043376105112	693016	767796	0.8197942171910715	0.8919453732777259	241736	263011.49999989616	294874
5	pandora_nanopore_withdenovo	100x	0	0.2	0.8	5	0.002060269788954683	684046.7695307329	685459.0	0.9021749652680572	689646	764426	0.8118575493358022	0.8875413887161188	239390	261706.66666655574	294867
6	pandora_nanopore_withdenovo	100x	0	0.2	0.8	6	0.0019274819870317426	678579.5242718371	679890.0	0.9014111988862288	683724	758504	0.7974801173458141	0.8798228507793489	235141	259420.1666665449	294855
7	pandora_nanopore_withdenovo	100x	0	0.2	0.8	7	0.0017419830513160095	668174.0210644321	669340.0	0.8999404566772149	672575	747355	0.7708367252794963	0.865371395491392	227255	255125.33333319015	294816
8	pandora_nanopore_withdenovo	100x	0	0.2	0.8	8	0.0014880533981742605	647729.7072008713	648695.0	0.8970949057987667	651909	726689	0.7186849051098853	0.8385361184045659	211841	247168.58333316672	294762
9	pandora_nanopore_withdenovo	100x	0	0.2	0.8	9	0.00118377430380745	609145.0551166597	609867.0	0.8918642214889131	616758	691538	0.6259592246783352	0.7930970894319649	184432	233677.3333331448	294639
10	pandora_nanopore_withdenovo	100x	0	0.2	0.8	10	0.0008569476619324501	539317.4367910421	539780.0	0.8836735392302355	568066	642846	0.4888203651380135	0.7298150198319939	143940	214904.24999980823	294464
11	pandora_nanopore_nodenovo	100x	25	0.1	1.0	0	0.0007480040768296228	428131.5161572742	428452.0	0.7820334036417972	603973	772311	0.5778618058499364	0.7756504168424644	170397	228719.91666642172	294875
12	pandora_nanopore_nodenovo	100x	25	0.1	1.0	1	0.0007474638972664316	428039.81636496703	428360.0	0.7819427712794207	603652	771990	0.5771598134802882	0.7752129433367414	170190	228590.91666642163	294875
13	pandora_nanopore_nodenovo	100x	25	0.1	1.0	2	0.0007467608762431466	427951.18397277046	428271.0	0.7819015241421842	603506	771844	0.5767494701144553	0.7750069238369537	170069	228530.16666642172	294875
14	pandora_nanopore_nodenovo	100x	25	0.1	1.0	3	0.0007282938662886982	427661.30988916283	427973.0	0.7818020147973018	603154	771492	0.5759525222551929	0.7745380811069842	169834	228391.91666642195	294875
15	pandora_nanopore_nodenovo	100x	25	0.1	1.0	4	0.0007160134761583503	427248.8648582011	427555.0	0.7813641718196187	601609	769947	0.5723645612547691	0.7725163204739351	168776	227795.74999975163	294875
16	pandora_nanopore_nodenovo	100x	25	0.1	1.0	5	0.0006876774385955464	426545.47244978725	426839.0	0.7809157295108743	600033	768371	0.5686733994858821	0.7705254334611281	167687	227207.9166664167	294874
17	pandora_nanopore_nodenovo	100x	25	0.1	1.0	6	0.0006660725030998018	425283.5415230733	425567.0	0.7799065958203458	596510	764848	0.5604183552696282	0.7659302379466091	165250	225849.0833330787	294869
18	pandora_nanopore_nodenovo	100x	25	0.1	1.0	7	0.0006332529657001593	422662.1783232165	422930.0	0.7780932720624099	590260	758598	0.5446276563273666	0.7578248468766648	160590	223453.74999974715	294862
19	pandora_nanopore_nodenovo	100x	25	0.1	1.0	8	0.0005837890201931817	417256.26808406936	417500.0	0.7749645411876998	579713	748051	0.5178135344874369	0.744001668746091	152668	219355.4999997475	294832
20	pandora_nanopore_nodenovo	100x	25	0.1	1.0	9	0.00053053902667477	405557.72158752906	405773.0	0.7695114554195026	562015	730353	0.4701853535422066	0.7210314418036742	138605	212551.41666642152	294788
21	pandora_nanopore_nodenovo	100x	25	0.1	1.0	10	0.0004561082794157789	382811.3169144997	382986.0	0.7604329733760652	534338	702676	0.3910650728969806	0.6850317181875025	115259	201900.08333312077	294731
22	pandora_nanopore_nodenovo	100x	25	0.0	0.4	0	0.0007272248837009165	426862.3491647549	427173.0	0.7809638863100486	603147	772311	0.5755218312844426	0.7745719937818459	169707	228401.91666642184	294875
23	pandora_nanopore_nodenovo	100x	25	0.0	0.4	1	0.0007272020369631925	426772.4243724477	427083.0	0.7808728092332802	602826	771990	0.5748198389147944	0.7741345202761225	169500	228272.91666642163	294875
24	pandora_nanopore_nodenovo	100x	25	0.0	0.4	2	0.0007266253469655481	426686.7331567217	426997.0	0.7808313597048108	602680	771844	0.5744094955489615	0.7739285007763345	169379	228212.16666642163	294875
25	pandora_nanopore_nodenovo	100x	25	0.0	0.4	3	0.0007094216714140789	426400.2876445426	426703.0	0.7807313620880061	602328	771492	0.573612547689699	0.7734596580463641	169144	228073.9166664216	294875
26	pandora_nanopore_nodenovo	100x	25	0.0	0.4	4	0.0006997863716233788	425990.6887674271	426289.0	0.7802913707047369	600783	769947	0.5700245866892751	0.7714378974133159	168086	227477.7499997516	294875
27	pandora_nanopore_nodenovo	100x	25	0.0	0.4	5	0.0006720053651344537	425290.01064472756	425576.0	0.7798413010347839	599209	768373	0.5663401995428556	0.7694503980222602	166999	226890.91666641601	294874
28	pandora_nanopore_nodenovo	100x	25	0.0	0.4	6	0.0006533222100785219	424036.7862397527	424314.0	0.7788306910266166	595698	764862	0.5581258118011727	0.7648687496246773	164574	225536.08333307892	294869
29	pandora_nanopore_nodenovo	100x	25	0.0	0.4	7	0.0006202392180205685	421437.445742	421699.0	0.7770152972114389	589471	758635	0.5423689726041334	0.7567924430176851	159924	223149.33333308066	294862
30	pandora_nanopore_nodenovo	100x	25	0.0	0.4	8	0.0005685827201876714	416065.2978764204	416302.0	0.7738772662199391	578943	748107	0.5155953220817279	0.7429954459932471	152014	219058.833333081	294832
31	pandora_nanopore_nodenovo	100x	25	0.0	0.4	9	0.0005165478283968294	404395.0026824394	404604.0	0.7684090339697964	561279	730443	0.4680278708766978	0.7200677549055244	137969	212267.3333330897	294788
32	pandora_nanopore_nodenovo	100x	25	0.0	0.4	10	0.0004461200732642777	381751.6169293788	381922.0	0.7593187784109098	533691	702855	0.389163714832458	0.6841839931410745	114699	201650.9166664552	294732
33	pandora_nanopore_withdenovo	100x	5	0.1	0.4	0	0.0016741041988911356	663548.2882290608	664661.0	0.8822883527490868	681401	772311	0.7886222975837219	0.8766816447642966	232545	258511.49999987194	294875
34	pandora_nanopore_withdenovo	100x	5	0.1	0.4	1	0.001670971431843249	663299.789870969	664410.0	0.8822325424738809	681035	771945	0.7876727426875795	0.8761811502044541	232265	258363.9166665384	294875
35	pandora_nanopore_withdenovo	100x	5	0.1	0.4	2	0.0016607285065618482	662956.1782886611	664059.0	0.8821901156846153	680757	771667	0.7870351844001696	0.8758126324709501	232077	258255.24999987145	294875
36	pandora_nanopore_withdenovo	100x	5	0.1	0.4	3	0.00161488936446319	661464.0808898048	662534.0	0.88203204378738	679723	770633	0.7846070368800339	0.8744665818845401	231361	257858.33333320371	294875
