	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	0	0.002393501246990004	711719.4115858638	713427.0	0.9082869465798104	701480	772311	0.8402814752013565	0.9029891196832042	247778	266268.9166665848	294875
1	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	1	0.002384716254525854	711430.3849126938	713131.0	0.9082420365498042	701102	771933	0.8393081814328105	0.902474212236544	247491	266117.0833332509	294875
2	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	2	0.0023640955709460787	710977.1989222184	712662.0	0.9082056485840956	700796	771627	0.8386027977956761	0.9020669775325718	247283	265996.9999999171	294875
3	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	3	0.0023115849953802003	709321.5439737595	710965.0	0.9080736490599194	699688	770519	0.8359779567613396	0.9006208845553165	246509	265570.583333249	294875
4	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	4	0.002237223325237569	707076.5648438905	708662.0	0.9077458285630928	696950	767781	0.8300664012425646	0.8970540524650333	244765	264517.91666657425	294874
5	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	5	0.002137770248359705	703247.3978663875	704754.0	0.9073352355310652	693548	764379	0.8220553673351036	0.8926080798006123	242397	263200.66666656715	294867
6	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	6	0.001998626950074245	697507.1516300853	698904.0	0.9066049403878156	687571	758402	0.8075766054501365	0.8848199397440187	238118	260893.58333322266	294855
7	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	7	0.0018028694580677351	686635.8493686622	687876.0	0.905200577648638	676336	747167	0.7807446000217084	0.8702659738046771	230176	256568.3333331997	294816
8	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	8	0.001540074918384704	665450.5754886197	666477.0	0.9024845909105302	655526	726357	0.7282621233401864	0.8432390651887807	214664	248554.8333331753	294762
9	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	9	0.00122945236536931	625500.0308671403	626270.0	0.8974728269916379	620020	690851	0.6346749751390685	0.7973463571799776	187000	234929.33333315141	294639
10	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	0.8	10	0.0008878520789817879	552787.770089593	553279.0	0.8895844862391756	570664	641495	0.4959417789610954	0.7331926256966712	146037	215898.8333331446	294464
11	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	0	0.001445114135297576	664890.7664176697	665853.0	0.8998097916512907	694933	772311	0.8174785926239932	0.8944711035746381	241054	263757.1666665714	294875
12	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	1	0.0014358384480509525	664640.3116723311	665596.0	0.8997490422274996	694465	771843	0.8163899957609156	0.8938411756390697	240733	263571.4166665707	294875
13	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	2	0.0014279028874751851	664300.0876041071	665250.0	0.8997033017883552	694113	771491	0.8155489614243323	0.8933709198809792	240485	263432.7499999037	294875
14	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	3	0.001407349297149474	663685.6461027792	664621.0	0.8996261502818791	693520	770898	0.8142128020347605	0.8925849936410416	240091	263200.9999999021	294875
15	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	4	0.0013555802609447332	662382.8680133601	663282.0	0.8993285359846686	691241	768619	0.8089258160237389	0.889573830718877	238532	262313.0833332289	294875
16	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	5	0.0013060035355033641	660572.1622454908	661436.0	0.8990117565987303	688830	766208	0.8033566879412902	0.8864851315021254	236889	261401.4166665577	294874
17	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	6	0.001227231967114495	657272.3831870813	658080.0	0.8982961737185158	683439	760817	0.7909755311752836	0.8793914164104827	233231	259301.74999987692	294865
18	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	7	0.0011202264508601845	650617.3438619116	651347.0	0.8970040145246995	673894	751272	0.7677987600558924	0.8670078547876936	226387	255638.99999986106	294852
19	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	8	0.0009790902057963402	637083.626343042	637708.0	0.8946772382345936	657297	734675	0.727037753129134	0.8453899686798486	214338	249229.4166665061	294810
20	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	9	0.0008277690983016227	610129.5352166586	610635.0	0.8905881920426233	629840	707218	0.6561210780588427	0.8097753930982042	193393	238682.9166664819	294752
21	pandora_nanopore_nodenovo_b19d26	100x	0	0.05	0.8	10	0.000642570522349506	558957.599383151	559317.0	0.8835142336700438	586892	664270	0.5376973621689135	0.7539463948730177	158425	222139.7499998065	294636
22	pandora_nanopore_withdenovo_b19d26	100x	5	0.05	0.8	0	0.0021939521836576987	707043.3698705646	708598.0	0.9068095624690052	700339	772311	0.8371275964391691	0.9014514624838182	246848	265815.4999999159	294875
23	pandora_nanopore_withdenovo_b19d26	100x	5	0.05	0.8	1	0.002186675461288812	706769.1384106106	708318.0	0.9067646536837756	699967	771939	0.8361644764730818	0.9009450332058736	246564	265666.166666582	294875
24	pandora_nanopore_withdenovo_b19d26	100x	5	0.05	0.8	2	0.002171921543432931	706337.5510374423	707875.0	0.9067279218801636	699663	771635	0.8354658753709199	0.9005411897693879	246358	265547.0833332483	294875
25	pandora_nanopore_withdenovo_b19d26	100x	5	0.05	0.8	3	0.0021236038233329872	704710.289743924	706210.0	0.9065951322322844	698566	770538	0.832868164476473	0.8991103574958211	245592	265125.16666658025	294875
26	pandora_nanopore_withdenovo_b19d26	100x	5	0.05	0.8	4	0.0020569795985589945	702571.8452230225	704020.0	0.9062638786686896	695843	767815	0.8270040763173423	0.8955635853502588	243862	264078.4166665722	294874
