	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_illumina_nodenovo	100x	5	0.05	0.8	0	0.0011487671267678135	639285.764914759	640021.0	0.8893217887612632	686833	772311	0.7987961000423909	0.8835724176907073	235545	260543.4166665473	294875
1	pandora_illumina_nodenovo	100x	5	0.05	0.8	1	0.0011448940929020823	639121.4349350802	639854.0	0.8892149213417906	686088	771566	0.7972293344637559	0.8826056238515014	235083	260258.33333321149	294875
2	pandora_illumina_nodenovo	100x	5	0.05	0.8	2	0.0011432559136471676	638946.68434367	639678.0	0.8891680929412374	685762	771240	0.7965944776412976	0.8821847071400339	234895	260133.33333321038	294874
3	pandora_illumina_nodenovo	100x	5	0.05	0.8	3	0.0011356439898568824	638745.7874665182	639472.0	0.8891429386627586	685587	771065	0.7962044805577976	0.8819555132018304	234780	260065.74999987648	294874
4	pandora_illumina_nodenovo	100x	5	0.05	0.8	4	0.0011073979303173331	637895.8123595057	638603.0	0.8889320570009654	684123	769601	0.7926029422736491	0.879986027930146	233718	259484.9999998739	294874
5	pandora_illumina_nodenovo	100x	5	0.05	0.8	5	0.0010775466910403206	636978.8851117111	637666.0	0.8887467315008479	682841	768319	0.7896966161818268	0.8782601495323574	232861	258976.08333320433	294874
6	pandora_illumina_nodenovo	100x	5	0.05	0.8	6	0.0010457255617111194	635098.1663797097	635763.0	0.8882295714756447	679286	764764	0.7821468903561872	0.8736608641681785	230634	257618.99999986327	294873
7	pandora_illumina_nodenovo	100x	5	0.05	0.8	7	0.0009954153668514376	631907.3629500979	632537.0	0.8874483841065184	673978	759456	0.7705922650134975	0.8667426328612051	227223	255574.66666651785	294868
8	pandora_illumina_nodenovo	100x	5	0.05	0.8	8	0.0009250766906730988	625673.667947236	626253.0	0.8859525413778611	664017	749495	0.7482551159525473	0.8537236628202214	220632	251730.66666649608	294862
9	pandora_illumina_nodenovo	100x	5	0.05	0.8	9	0.0008490496227134825	613965.2700444878	614487.0	0.8834620806622694	648000	733478	0.7111120155748658	0.8327940468188966	209660	245535.9999998025	294834
10	pandora_illumina_nodenovo	100x	5	0.05	0.8	10	0.0007710001198107942	590249.5663742272	590705.0	0.8793041611951258	622732	708210	0.6481779906838514	0.7996832984450514	191055	235712.249999768	294757
11	pandora_illumina_nodenovo	100x	0	0.05	1.0	0	0.0012344412609940347	648244.7908373169	649046.0	0.893507926211073	690066	772311	0.8062738448495125	0.8877993500066967	237750	261789.8333332247	294875
12	pandora_illumina_nodenovo	100x	0	0.05	1.0	1	0.0012297319419680708	648052.088429454	648850.0	0.8934042718647934	689315	771560	0.8046901229334463	0.8868252084212705	237283	261502.5833332221	294875
13	pandora_illumina_nodenovo	100x	0	0.05	1.0	2	0.0012271295009044225	647836.0445375694	648632.0	0.8933532678674933	688946	771191	0.8039942483908381	0.8863525890150402	237077	261362.3333332209	294874
14	pandora_illumina_nodenovo	100x	0	0.05	1.0	3	0.0012183976618180825	647589.0165424279	648379.0	0.8933225590133974	688724	770969	0.8034957303797554	0.8860598085958307	236930	261275.99999988696	294874
15	pandora_illumina_nodenovo	100x	0	0.05	1.0	4	0.0011848872915009025	646622.9158163553	647390.0	0.8931115463443227	687202	769447	0.7997822798890374	0.8840176934325086	235835	260673.83333321754	294874
16	pandora_illumina_nodenovo	100x	0	0.05	1.0	5	0.0011494987804622214	645531.1088251554	646274.0	0.8929162912541468	685799	768044	0.7965910863623107	0.8821321423157492	234894	260117.83333321425	294874
17	pandora_illumina_nodenovo	100x	0	0.05	1.0	6	0.001116810217096198	643377.665889599	644097.0	0.8923891966577782	682037	764282	0.7886649506736798	0.8772672189944078	232556	258682.41666653802	294873
18	pandora_illumina_nodenovo	100x	0	0.05	1.0	7	0.0010589522208209745	639234.36376647	639912.0	0.8915777484239917	676317	758562	0.7762320767258571	0.8698126506318914	228886	256479.91666652448	294868
19	pandora_illumina_nodenovo	100x	0	0.05	1.0	8	0.0009751979744175854	631079.9713403523	631696.0	0.8900309135543635	665647	747892	0.7523824704438008	0.8558622338579859	221849	252361.24999983344	294862
20	pandora_illumina_nodenovo	100x	0	0.05	1.0	9	0.0008729917505539975	616813.056796812	617352.0	0.8874957423612146	648794	731039	0.7131979351092479	0.8338175040863804	210275	245837.7499998039	294834
21	pandora_illumina_nodenovo	100x	0	0.05	1.0	10	0.0007812184007173206	591210.7741651924	591673.0	0.8833991394404236	623110	705355	0.6492849994062866	0.8001761349813736	191380	235855.91666643482	294755
22	pandora_illumina_nodenovo	100x	5	0.0	0.8	0	0.0011700866480477412	642043.8729829815	642796.0	0.8904806483398527	687728	772311	0.8007664264518863	0.8847562526490335	236126	260892.4999998837	294875
23	pandora_illumina_nodenovo	100x	5	0.0	0.8	1	0.0011662395086066144	641877.5430033025	642627.0	0.8903748998789475	686983	771566	0.7991996608732513	0.8837894588098277	235664	260607.416666548	294875
24	pandora_illumina_nodenovo	100x	5	0.0	0.8	2	0.0011646233116985314	641697.7924118926	642446.0	0.8903285617965873	686657	771240	0.7985648107327198	0.8833685461130749	235476	260482.41666654692	294874
25	pandora_illumina_nodenovo	100x	5	0.0	0.8	3	0.0011570695971261367	641491.8894072897	642235.0	0.8903021059484809	686471	771054	0.798144292138337	0.8831240914194299	235352	260410.333333213	294874
26	pandora_illumina_nodenovo	100x	5	0.0	0.8	4	0.0011277481935568767	640630.7141850695	641354.0	0.8900931407454378	685005	769588	0.7945359712962147	0.8811517800819233	234288	259828.74999987704	294874
27	pandora_illumina_nodenovo	100x	5	0.0	0.8	5	0.001098066961360944	639706.786937275	640410.0	0.8899093196304062	683720	768303	0.7916228626464185	0.8794222277985647	233429	259318.74999987398	294874
28	pandora_illumina_nodenovo	100x	5	0.0	0.8	6	0.0010678249646219882	637789.2247270128	638471.0	0.8893916231968584	680124	764707	0.7840290565768993	0.8747692509426058	231189	257945.83333319894	294873
29	pandora_illumina_nodenovo	100x	5	0.0	0.8	7	0.001019218973747349	634545.5992424085	635193.0	0.8886127791824695	674777	759360	0.7724439410176757	0.8678044073953552	227769	255887.7499998536	294868
30	pandora_illumina_nodenovo	100x	5	0.0	0.8	8	0.0009452392283891832	628211.6279017535	628806.0	0.8871207743523154	664740	749323	0.7499338673684639	0.8546837164498354	221127	252013.74999983137	294862
31	pandora_illumina_nodenovo	100x	5	0.0	0.8	9	0.000869023278205594	616295.9586332579	616832.0	0.8846368398871233	648606	733189	0.7125297625104295	0.8335978889809325	210078	245772.99999980425	294834
