	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_nanopore_nodenovo	100x	5	0.0	1.0	0	0.0013804325473393275	662943.5860491233	663860.0	0.8976707569877937	693281	772311	0.8156778295888089	0.8921650416840079	240523	263077.1666665719	294875
1	pandora_nanopore_nodenovo	100x	5	0.0	1.0	1	0.0013735903229072919	662721.4401332381	663633.0	0.8976274119670874	692954	771984	0.8148876642645189	0.8917058075452466	240290	262941.7499999046	294875
2	pandora_nanopore_nodenovo	100x	5	0.0	1.0	2	0.0013697159467118696	662382.4797399895	663291.0	0.8975767299721877	692572	771602	0.8139177617634591	0.8911827045354953	240004	262787.4999999042	294875
3	pandora_nanopore_nodenovo	100x	5	0.0	1.0	3	0.0013526185442560568	661815.603459299	662712.0	0.8975121771562256	692086	771116	0.8127816871555744	0.8905298855443937	239669	262594.9999999031	294875
4	pandora_nanopore_nodenovo	100x	5	0.0	1.0	4	0.001306431344493708	660553.9027929875	661418.0	0.8972519478966097	690133	769163	0.8083866044934295	0.8880016956333927	238373	261849.4999998967	294875
5	pandora_nanopore_nodenovo	100x	5	0.0	1.0	5	0.0012632954608275961	658809.6759923333	659643.0	0.8968904034882174	687436	766466	0.8017553319564694	0.8844587330813358	236416	260802.9999998927	294873
6	pandora_nanopore_nodenovo	100x	5	0.0	1.0	6	0.0011948325380520821	655655.6641287211	656440.0	0.8962162190556109	682457	761487	0.7904466375012718	0.8779849312122201	233079	258891.4166665473	294870
7	pandora_nanopore_nodenovo	100x	5	0.0	1.0	7	0.0010903045902445065	649294.2987454273	650003.0	0.8948950346781218	672885	751915	0.7675926648194185	0.8655502346362335	226327	255210.0833331973	294853
8	pandora_nanopore_nodenovo	100x	5	0.0	1.0	8	0.0009757549490911901	636850.982565338	637473.0	0.8926135282767617	656910	735940	0.7288321291679387	0.8447932566732492	214867	249053.4999998406	294810
9	pandora_nanopore_nodenovo	100x	5	0.0	1.0	9	0.0008390342116592062	611571.4397445566	612085.0	0.8885224534934241	629902	708932	0.6596166242578456	0.8097681651110554	194422	238679.1666664836	294750
